id,target
200000,0
200001,1
200002,1
200003,1
200004,0
200005,0
200006,1
200007,0
200008,0
200009,0
200010,0
200011,1
200012,0
200013,1
200014,1
200015,1
200016,0
200017,1
200018,0
200019,1
200020,1
200021,1
200022,0
200023,1
200024,1
200025,0
200026,1
200027,0
200028,0
200029,0
200030,0
200031,0
200032,0
200033,0
200034,1
200035,0
200036,0
200037,1
200038,0
200039,0
200040,0
200041,0
200042,1
200043,0
200044,0
200045,1
200046,1
200047,1
200048,1
200049,1
200050,0
200051,1
200052,0
200053,1
200054,0
200055,1
200056,0
200057,1
200058,1
200059,1
200060,0
200061,1
200062,0
200063,1
200064,1
200065,0
200066,0
200067,1
200068,1
200069,1
200070,1
200071,1
200072,0
200073,1
200074,1
200075,0
200076,0
200077,0
200078,0
200079,0
200080,0
200081,1
200082,1
200083,0
200084,0
200085,1
200086,1
200087,0
200088,1
200089,1
200090,1
200091,0
200092,1
200093,1
200094,1
200095,0
200096,0
200097,0
200098,0
200099,1
200100,0
200101,0
200102,1
200103,1
200104,0
200105,1
200106,0
200107,0
200108,1
200109,0
200110,0
200111,1
200112,1
200113,1
200114,1
200115,1
200116,0
200117,1
200118,1
200119,1
200120,1
200121,0
200122,0
200123,0
200124,0
200125,1
200126,0
200127,0
200128,0
200129,1
200130,1
200131,1
200132,0
200133,0
200134,0
200135,1
200136,1
200137,1
200138,0
200139,1
200140,0
200141,0
200142,0
200143,1
200144,1
200145,0
200146,0
200147,0
200148,0
200149,0
200150,1
200151,0
200152,1
200153,0
200154,0
200155,1
200156,0
200157,0
200158,0
200159,1
200160,0
200161,1
200162,1
200163,0
200164,0
200165,1
200166,0
200167,1
200168,0
200169,0
200170,0
200171,0
200172,0
200173,1
200174,0
200175,1
200176,0
200177,1
200178,1
200179,1
200180,0
200181,1
200182,1
200183,1
200184,1
200185,1
200186,1
200187,0
200188,0
200189,1
200190,1
200191,1
200192,1
200193,1
200194,1
200195,0
200196,0
200197,0
200198,0
200199,0
200200,1
200201,1
200202,0
200203,1
200204,1
200205,0
200206,1
200207,0
200208,0
200209,1
200210,0
200211,1
200212,0
200213,1
200214,1
200215,1
200216,1
200217,1
200218,1
200219,0
200220,1
200221,1
200222,1
200223,1
200224,1
200225,1
200226,0
200227,1
200228,0
200229,0
200230,1
200231,0
200232,1
200233,0
200234,1
200235,0
200236,1
200237,1
200238,0
200239,1
200240,0
200241,0
200242,0
200243,0
200244,1
200245,0
200246,1
200247,0
200248,0
200249,0
200250,1
200251,1
200252,0
200253,0
200254,0
200255,1
200256,0
200257,1
200258,0
200259,1
200260,1
200261,1
200262,1
200263,0
200264,0
200265,1
200266,0
200267,0
200268,1
200269,0
200270,1
200271,0
200272,0
200273,1
200274,1
200275,1
200276,0
200277,0
200278,1
200279,1
200280,1
200281,1
200282,0
200283,1
200284,1
200285,1
200286,0
200287,0
200288,1
200289,1
200290,0
200291,0
200292,1
200293,0
200294,0
200295,0
200296,0
200297,1
200298,0
200299,0
200300,0
200301,1
200302,0
200303,0
200304,1
200305,0
200306,1
200307,1
200308,0
200309,1
200310,1
200311,1
200312,1
200313,1
200314,1
200315,1
200316,0
200317,1
200318,0
200319,0
200320,1
200321,0
200322,1
200323,1
200324,0
200325,1
200326,0
200327,1
200328,1
200329,0
200330,0
200331,1
200332,0
200333,0
200334,1
200335,1
200336,1
200337,0
200338,0
200339,0
200340,0
200341,1
200342,1
200343,0
200344,1
200345,0
200346,0
200347,0
200348,1
200349,0
200350,0
200351,1
200352,1
200353,1
200354,1
200355,0
200356,0
200357,1
200358,1
200359,0
200360,0
200361,1
200362,1
200363,1
200364,1
200365,1
200366,1
200367,0
200368,0
200369,0
200370,0
200371,0
200372,0
200373,1
200374,0
200375,1
200376,0
200377,0
200378,0
200379,1
200380,0
200381,0
200382,1
200383,0
200384,1
200385,0
200386,0
200387,0
200388,0
200389,1
200390,1
200391,0
200392,1
200393,0
200394,1
200395,1
200396,0
200397,1
200398,1
200399,0
200400,1
200401,0
200402,0
200403,0
200404,1
200405,1
200406,1
200407,0
200408,0
200409,1
200410,1
200411,1
200412,0
200413,1
200414,1
200415,1
200416,0
200417,1
200418,0
200419,1
200420,0
200421,1
200422,0
200423,0
200424,1
200425,0
200426,0
200427,0
200428,0
200429,0
200430,0
200431,1
200432,0
200433,1
200434,0
200435,1
200436,1
200437,0
200438,1
200439,1
200440,0
200441,1
200442,1
200443,1
200444,1
200445,0
200446,0
200447,0
200448,0
200449,1
200450,0
200451,0
200452,1
200453,1
200454,1
200455,1
200456,1
200457,0
200458,0
200459,0
200460,1
200461,1
200462,0
200463,0
200464,0
200465,0
200466,1
200467,1
200468,0
200469,0
200470,1
200471,0
200472,1
200473,1
200474,1
200475,0
200476,1
200477,1
200478,1
200479,0
200480,0
200481,0
200482,1
200483,0
200484,1
200485,0
200486,0
200487,0
200488,0
200489,0
200490,1
200491,1
200492,0
200493,1
200494,1
200495,1
200496,1
200497,0
200498,0
200499,1
200500,1
200501,1
200502,1
200503,1
200504,0
200505,0
200506,0
200507,1
200508,0
200509,1
200510,0
200511,0
200512,1
200513,1
200514,0
200515,1
200516,0
200517,1
200518,0
200519,0
200520,0
200521,1
200522,0
200523,0
200524,1
200525,1
200526,1
200527,0
200528,1
200529,1
200530,0
200531,0
200532,0
200533,0
200534,0
200535,1
200536,1
200537,1
200538,0
200539,0
200540,0
200541,0
200542,0
200543,1
200544,0
200545,0
200546,0
200547,0
200548,0
200549,0
200550,0
200551,1
200552,1
200553,1
200554,0
200555,1
200556,0
200557,0
200558,0
200559,1
200560,0
200561,0
200562,0
200563,1
200564,0
200565,0
200566,0
200567,0
200568,0
200569,0
200570,1
200571,1
200572,0
200573,0
200574,0
200575,0
200576,1
200577,0
200578,0
200579,0
200580,0
200581,1
200582,1
200583,1
200584,0
200585,1
200586,1
200587,0
200588,1
200589,0
200590,0
200591,0
200592,0
200593,1
200594,1
200595,1
200596,1
200597,0
200598,1
200599,0
200600,0
200601,0
200602,0
200603,0
200604,0
200605,1
200606,0
200607,1
200608,1
200609,0
200610,0
200611,0
200612,0
200613,0
200614,0
200615,1
200616,1
200617,1
200618,1
200619,0
200620,1
200621,1
200622,1
200623,1
200624,0
200625,0
200626,0
200627,1
200628,0
200629,1
200630,0
200631,1
200632,1
200633,0
200634,0
200635,1
200636,1
200637,1
200638,1
200639,0
200640,0
200641,0
200642,0
200643,1
200644,0
200645,1
200646,1
200647,1
200648,0
200649,0
200650,1
200651,1
200652,0
200653,1
200654,0
200655,0
